nim,nama,prodi,IPK1,SKS1,IPK2,SKS2,IPK3,SKS3,IPK4,SKS4,IPK5,SKS5,IPK_1,SKS_1,IPK_2,SKS_2,IPK_3,SKS_3,IPK_4,SKS_4,IPK_5,SKS_5
1910129120006,MHSIPA19048,Pendidikan IPA,3.59,20,3.77,44,3.84,68,3.83,91,3.82,115,0.635428814,0.185353936,1.009800856,1.249698535,1.25375598,0.860227242,1.218425791,0.768200117,1.101581717,0.748258058
1910129120013,MHSIPA19049,Pendidikan IPA,3.51,20,3.67,42,3.72,66,3.67,89,3.64,113,0.423034792,0.185353936,0.722061903,-0.088362523,0.873594453,0.375635102,0.714331595,0.416959805,0.554992453,0.479088304
1910129120004,MHSIPA19050,Pendidikan IPA,3.23,20,3.51,42,3.55,66,3.57,89,3.52,113,-0.320344286,0.185353936,0.261679577,-0.088362523,0.335032289,0.375635102,0.399272722,0.416959805,0.190599611,0.479088304
1910129120014,MHSIPA19051,Pendidikan IPA,3.51,20,3.67,44,3.69,68,3.66,91,3.6,115,0.423034792,0.185353936,0.722061903,1.249698535,0.778554071,0.860227242,0.682825708,0.768200117,0.433528172,0.748258058
1910129120016,MHSIPA19052,Pendidikan IPA,3.4,20,3.54,42,3.61,66,3.66,89,3.68,113,0.130993011,0.185353936,0.348001263,-0.088362523,0.525113053,0.375635102,0.682825708,0.416959805,0.676456734,0.479088304
1910129220011,MHSIPA19053,Pendidikan IPA,3.56,20,3.6,44,3.46,68,3.49,91,3.5,115,0.555781056,0.185353936,0.520644635,1.249698535,0.049911144,0.860227242,0.147225624,0.768200117,0.12986747,0.748258058
1910129310005,MHSIPA19054,Pendidikan IPA,3.49,20,3.58,42,3.69,66,3.71,89,3.74,113,0.369936287,0.185353936,0.463096844,-0.088362523,0.778554071,0.375635102,0.840355144,0.416959805,0.858653155,0.479088304
1910129320014,MHSIPA19055,Pendidikan IPA,3.26,20,3.38,42,3.38,63,3.41,86,3.48,110,-0.240696528,0.185353936,-0.112381063,-0.088362523,-0.203529874,-0.351253108,-0.104821474,-0.109900664,0.06913533,0.075333673
1910129220002,MHSIPA19056,Pendidikan IPA,3.45,20,3.51,42,3.56,66,3.59,89,3.58,110,0.263739275,0.185353936,0.261679577,-0.088362523,0.366712417,0.375635102,0.462284497,0.416959805,0.372796032,0.075333673
1910129220023,MHSIPA19057,Pendidikan IPA,3.3,20,3.55,42,3.59,66,3.6,89,3.6,110,-0.134499516,0.185353936,0.376775158,-0.088362523,0.461752798,0.375635102,0.493790384,0.416959805,0.433528172,0.075333673
1910131120001,MHSKOM19002,Pendidikan Komputer,2.82,21,2.91,40,3.13,58,3.16,78,3.1,100,-1.40886365,1.065093516,-1.464754145,-1.42642358,-0.995533056,-1.562733458,-0.892468656,-1.514861913,-1.084775338,-1.270515097
1910131120002,MHSKOM19003,Pendidikan Komputer,3.24,21,3.2,42,3.14,63,3.15,84,3.12,107,-0.293795033,1.065093516,-0.63031118,-0.088362523,-0.963852929,-0.351253108,-0.923974543,-0.461140976,-1.024043198,-0.328420958
1910131120004,MHSKOM19004,Pendidikan Komputer,2.68,21,3.04,34,3.25,49,3.19,71,3.19,92,-1.780553189,1.065093516,-1.090693505,-5.440606753,-0.615371529,-3.743398089,-0.797950994,-2.744203006,-0.811480706,-2.347194113
1910131210001,MHSKOM19006,Pendidikan Komputer,3.2,21,3.32,42,3.43,63,3.49,87,3.52,111,-0.399992044,1.065093516,-0.285024435,-0.088362523,-0.045129238,-0.351253108,0.147225624,0.065719492,0.190599611,0.20991855
1910131210002,MHSKOM19007,Pendidikan Komputer,2.77,21,3.1,42,3.38,60,3.39,81,3.31,103,-1.541609914,1.065093516,-0.918050133,-0.088362523,-0.203529874,-1.078141318,-0.167833249,-0.988001445,-0.447087864,-0.866760466
